RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,AVG,TOTAL_DISTANCE,TOTAL_DRIVES,YEAR
158,158,William McGirt,103,280.4,"57,762",206,Y2015
159,159,Kevin Na,98,280.1,"48,732",174,Y2015
T160,T160,Roberto Castro,54,279.8,"25,185",90,Y2015
T160,T160,John Huh,102,279.8,"56,527",202,Y2015
162,162,Mark Wilson,89,279.2,"47,456",170,Y2015
163,163,Tim Wilkinson,73,279.1,"36,840",132,Y2015
164,164,Andrew Putnam,68,278.7,"35,114",126,Y2015
165,165,Mark Hubbard,79,278.5,"42,325",152,Y2015
166,166,Chad Collins,79,278.4,"43,438",156,Y2015
167,167,Steven Alker,62,278.3,"33,396",120,Y2015
168,168,Ken Duke,93,278.1,"48,946",176,Y2015
169,169,Bryce Molder,91,277.9,"48,359",174,Y2015
170,170,Jerry Kelly,79,277.2,"43,515",157,Y2015
171,171,Jason Bohn,95,277.1,"52,655",190,Y2015
172,172,Luke Donald,71,277,"37,123",134,Y2015
173,173,Colt Knost,90,276.6,"47,030",170,Y2015
T174,T174,K.J. Choi,66,276.5,"32,070",116,Y2015
T174,T174,Brian Stuard,97,276.5,"48,666",176,Y2015
176,176,Brendon Todd,96,276.4,"48,638",176,Y2015
177,177,Heath Slocum,57,275.8,"26,480",96,Y2015
178,178,Brian Davis,86,275.5,"42,983",156,Y2015
179,179,Jon Curran,83,273.5,"43,209",158,Y2015
180,180,Zac Blair,108,273.1,"56,528",207,Y2015
181,181,Billy Hurley III,83,271.9,"40,778",150,Y2015
182,182,Justin Leonard,61,271.6,"33,131",122,Y2015
183,183,Ben Crane,62,271,"30,893",114,Y2015
184,184,David Toms,62,270,"31,315",116,Y2015
1,1,Bubba Watson,76,314.3,"40,863",130,Y2014
2,2,Dustin Johnson,58,311,"32,970",106,Y2014
3,3,Rory McIlroy,66,310.5,"37,261",120,Y2014
T4,T4,J.B. Holmes,86,308,"52,979",172,Y2014
T4,T4,Andrew Loupe,65,308,"37,576",122,Y2014
6,6,Brooks Koepka,56,307,"34,389",112,Y2014
7,7,Robert Garrigus,80,306.1,"48,974",160,Y2014
8,8,Jhonattan Vegas,77,304.8,"45,726",150,Y2014
T9,T9,Charles Howell III,106,304.1,"62,028",204,Y2014
T9,T9,Gary Woodland,93,304.1,"53,218",175,Y2014
11,11,Charlie Beljan,76,303.8,"43,741",144,Y2014
12,12,Ángel Cabrera,69,303.7,"41,915",138,Y2014
13,13,Adam Scott,68,303.5,"41,275",136,Y2014
T14,T14,Graham DeLaet,80,303.4,"42,781",141,Y2014
T14,T14,Jason Kokrak,65,303.4,"39,447",130,Y2014
16,16,Jamie Lovemark,64,302.4,"36,292",120,Y2014
17,17,Keegan Bradley,89,302.2,"48,344",160,Y2014
18,18,Jason Day,54,301.2,"28,914",96,Y2014
19,19,Jimmy Walker,98,301,"52,978",176,Y2014
20,20,Lucas Glover,68,300.6,"37,276",124,Y2014
T21,T21,Sean O'Hair,77,300.5,"46,271",154,Y2014
T21,T21,Louis Oosthuizen,50,300.5,"25,240",84,Y2014
T23,T23,Ryan Palmer,85,300.4,"48,665",162,Y2014
T23,T23,Scott Stallings,77,300.4,"43,257",144,Y2014
25,25,Robert Streb,75,300,"42,598",142,Y2014
T26,T26,Harris English,95,299.2,"52,660",176,Y2014
T26,T26,Charley Hoffman,93,299.2,"53,254",178,Y2014
28,28,Brendan Steele,89,298.9,"48,417",162,Y2014
29,29,Steven Bowditch,93,298.1,"55,447",186,Y2014
30,30,Charl Schwartzel,64,297.8,"36,930",124,Y2014
31,31,Shawn Stefani,60,297.7,"35,723",120,Y2014
32,32,Marc Leishman,81,297.6,"45,239",152,Y2014
T33,T33,Rickie Fowler,91,297.5,"45,808",154,Y2014
T33,T33,Kyle Stanley,87,297.5,"47,008",158,Y2014
T33,T33,Hudson Swafford,75,297.5,"42,248",142,Y2014
