RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,NUM_SAVES,NUM_BUNKERS,TOTAL_O_U_PAR,YEAR
66,66,Josh Teater,90,52.17,72,138,52,Y2014
67,67,Chris Stroud,88,52.14,73,140,40,Y2014
68,68,D.A. Points,75,52.07,63,121,38,Y2014
69,69,Dustin Johnson,58,51.96,53,102,19,Y2014
70,70,Rickie Fowler,91,51.95,80,154,39,Y2014
71,71,Brian Harman,111,51.81,86,166,47,Y2014
72,72,Briny Baird,50,51.76,44,85,32,Y2014
73,73,Luke Donald,57,51.4,55,107,48,Y2014
74,74,Ken Duke,80,51.24,62,121,40,Y2014
T75,T75,Stewart Cink,91,51.11,69,135,48,Y2014
T75,T75,Luke Guthrie,85,51.11,69,135,51,Y2014
T75,T75,Bronson La'Cassie,51,51.11,46,90,31,Y2014
78,78,Brian Stuard,91,51.05,73,143,52,Y2014
79,79,Matt Every,85,51.01,76,149,62,Y2014
T80,T80,Kevin Chappell,100,50.97,79,155,45,Y2014
T80,T80,Brice Garnett,92,50.97,79,155,63,Y2014
82,82,Ryo Ishikawa,75,50.91,56,110,38,Y2014
83,83,D.H. Lee,54,50.89,57,112,45,Y2014
84,84,Ben Martin,80,50.79,64,126,29,Y2014
85,85,Camilo Villegas,95,50.72,70,138,52,Y2014
86,86,Bud Cauley,56,50.68,37,73,15,Y2014
87,87,Jeff Maggert,54,50.59,43,85,38,Y2014
88,88,Troy Matteson,62,50.57,44,87,35,Y2014
89,89,Andrew Loupe,65,50.44,57,113,38,Y2014
T90,T90,Keegan Bradley,89,50.4,63,125,40,Y2014
T90,T90,Michael Thompson,74,50.4,63,125,39,Y2014
92,92,Trevor Immelman,84,50.35,72,143,44,Y2014
93,93,Jerry Kelly,80,50.34,75,149,46,Y2014
T94,T94,Jim Furyk,84,50,55,110,39,Y2014
T94,T94,Jimmy Walker,98,50,85,170,56,Y2014
96,96,Michael Putnam,106,49.7,83,167,44,Y2014
97,97,Jason Bohn,81,49.64,68,137,64,Y2014
98,98,Lee Westwood,57,49.53,53,107,48,Y2014
99,99,Chad Campbell,57,49.25,33,67,21,Y2014
100,100,Brendan Steele,89,49.24,65,132,49,Y2014
101,101,Will MacKenzie,82,49.23,64,130,53,Y2014
T102,T102,Freddie Jacobson,91,49.06,78,159,56,Y2014
T102,T102,Jason Kokrak,65,49.06,52,106,37,Y2014
T104,T104,Ricky Barnes,92,48.98,72,147,53,Y2014
T104,T104,Paul Casey,56,48.98,48,98,34,Y2014
106,106,Rory Sabbatini,82,48.92,68,139,41,Y2014
107,107,Brad Fritsch,50,48.91,45,92,39,Y2014
108,108,James Hahn,82,48.85,64,131,52,Y2014
109,109,Ian Poulter,57,48.76,59,121,46,Y2014
110,110,Geoff Ogilvy,84,48.63,71,146,56,Y2014
111,111,Roberto Castro,76,48.55,67,138,56,Y2014
112,112,Willy Wilcox,51,48.53,33,68,15,Y2014
113,113,Jamie Lovemark,64,48.51,49,101,32,Y2014
114,114,David Lingmerth,80,48.46,63,130,59,Y2014
115,115,Y.E. Yang,79,48.37,74,153,56,Y2014
116,116,Ernie Els,85,48.33,87,180,57,Y2014
117,117,Brandt Snedeker,89,48.3,71,147,46,Y2014
118,118,George McNeill,79,48.18,66,137,49,Y2014
119,119,Russell Henley,92,48.1,76,158,78,Y2014
120,120,Erik Compton,88,48.03,73,152,63,Y2014
T121,T121,Robert Allenby,83,47.79,65,136,54,Y2014
T121,T121,Ryan Moore,86,47.79,65,136,57,Y2014
123,123,Rory McIlroy,66,47.5,57,120,33,Y2014
124,124,Harris English,95,47.41,64,135,45,Y2014
T125,T125,Ben Curtis,77,47.37,54,114,52,Y2014
T125,T125,Pat Perez,84,47.37,54,114,47,Y2014
127,127,Shawn Stefani,60,47,47,100,42,Y2014
128,128,Carl Pettersson,91,46.91,76,162,51,Y2014
129,129,Chesson Hadley,84,46.71,71,152,62,Y2014
130,130,Jeff Overton,80,46.56,61,131,42,Y2014
131,131,J.B. Holmes,86,46.55,81,174,70,Y2014
132,132,Scott Brown,100,46.36,70,151,60,Y2014
133,133,William McGirt,96,46.02,81,176,82,Y2014
134,134,Charley Hoffman,93,45.71,64,140,59,Y2014
135,135,Robert Garrigus,80,45.6,57,125,43,Y2014
136,136,Martin Laird,66,45.36,44,97,30,Y2014
137,137,Billy Horschel,92,45.08,55,122,50,Y2014
138,138,Henrik Stenson,56,44.9,44,98,36,Y2014
139,139,John Rollins,84,44.8,56,125,57,Y2014
140,140,Bo Van Pelt,83,44.78,60,134,49,Y2014
141,141,Scott Stallings,77,44.72,55,123,56,Y2014
142,142,Brendon de Jonge,109,44.66,92,206,90,Y2014
T143,T143,Nicholas Thompson,85,44.44,60,135,51,Y2014
T143,T143,David Toms,64,44.44,36,81,36,Y2014
145,145,Kyle Stanley,87,44.14,64,145,54,Y2014
146,146,Louis Oosthuizen,50,44.12,30,68,31,Y2014
147,147,Davis Love III,74,44.04,48,109,49,Y2014
148,148,Robert Streb,75,43.97,51,116,51,Y2014
149,149,Justin Hicks,103,43.88,61,139,68,Y2014
150,150,Jhonattan Vegas,77,43.69,45,103,41,Y2014
151,151,Danny Lee,84,43.59,51,117,47,Y2014
152,152,Jonathan Byrd,76,43.51,57,131,46,Y2014
153,153,Boo Weekley,73,43.48,50,115,41,Y2014
154,154,Hudson Swafford,75,43.27,45,104,45,Y2014
155,155,Kevin Streelman,79,43.17,60,139,64,Y2014
156,156,Kevin Stadler,90,42.75,59,138,63,Y2014
157,157,Daniel Summerhays,98,42.42,70,165,53,Y2014
158,158,Johnson Wagner,69,42.27,41,97,45,Y2014
159,159,Matt Jones,83,41.83,64,153,56,Y2014
160,160,Bubba Watson,76,41.8,51,122,39,Y2014
161,161,Gary Woodland,93,41.04,71,173,70,Y2014
162,162,Jim Herman,62,40.91,36,88,32,Y2014
163,163,Kevin Kisner,85,40.31,52,129,62,Y2014
164,164,Tommy Gainey,73,40.15,53,132,62,Y2014
165,165,Wes Roach,67,39.58,38,96,37,Y2014
166,166,Jim Renner,61,38.83,40,103,47,Y2014
T167,T167,Charlie Beljan,76,38.53,42,109,54,Y2014
T167,T167,Derek Ernst,80,38.53,42,109,58,Y2014
169,169,Woody Austin,63,38.04,35,92,49,Y2014
170,170,Lucas Glover,68,37.78,34,90,58,Y2014
171,171,Nick Watney,80,37.76,37,98,43,Y2014
172,172,Ángel Cabrera,69,37.17,42,113,49,Y2014
173,173,J.J. Henry,91,36.78,32,87,48,Y2014
174,174,Andrew Svoboda,77,36.67,33,90,37,Y2014
175,175,John Merrick,87,36.44,43,118,62,Y2014
176,176,John Peterson,62,36.08,35,97,44,Y2014
177,177,Kevin Tway,64,34.07,31,91,51,Y2014
